	Run #6	Run #6	Run #6	Run #6	Run #6
	Date and Time	Time (s)	Position (m)	Velocity (m/s)	Acceleration (m/s²)
	11/01/2020 02:14:01 pm	1.312	0.569	0.24	-4.0
	11/01/2020 02:14:01 pm	1.316	0.570	0.07	-14.3
	11/01/2020 02:14:01 pm	1.320	0.570	0.11	-21.8
	11/01/2020 02:14:01 pm	1.324	0.570	-0.01	-29.6
	11/01/2020 02:14:01 pm	1.328	0.572	-0.21	-20.2
	11/01/2020 02:14:01 pm	1.332	0.567	-0.33	10.0
	11/01/2020 02:14:01 pm	1.336	0.567	-0.06	29.7
	11/01/2020 02:14:01 pm	1.340	0.566	0.08	19.4
	11/01/2020 02:14:01 pm	1.344	0.571	0.10	-9.2
	11/01/2020 02:14:01 pm	1.348	0.566	-0.02	-23.9
	11/01/2020 02:14:01 pm	1.352	0.571	-0.18	-25.3
	11/01/2020 02:14:01 pm	1.356	0.566	-0.21	-13.8
	11/01/2020 02:14:01 pm	1.360	0.566	-0.32	5.3
	11/01/2020 02:14:01 pm	1.364	0.565	-0.21	21.3
	11/01/2020 02:14:01 pm	1.368	0.564	-0.05	19.2
	11/01/2020 02:14:01 pm	1.372	0.563	0.03	-7.1
	11/01/2020 02:14:01 pm	1.376	0.567	-0.10	-30.8
	11/01/2020 02:14:01 pm	1.380	0.563	-0.33	-25.2
	11/01/2020 02:14:01 pm	1.384	0.562	-0.43	-1.4
	11/01/2020 02:14:01 pm	1.388	0.560	-0.25	12.5
	11/01/2020 02:14:01 pm	1.392	0.560	-0.22	6.2
	11/01/2020 02:14:01 pm	1.396	0.559	-0.24	-6.8
	11/01/2020 02:14:01 pm	1.400	0.558	-0.29	-8.5
	11/01/2020 02:14:01 pm	1.404	0.557	-0.34	-4.7
	11/01/2020 02:14:01 pm	1.408	0.555	-0.32	-1.2
	11/01/2020 02:14:01 pm	1.412	0.553	-0.32	-2.0
	11/01/2020 02:14:01 pm	1.416	0.553	-0.34	-6.5
	11/01/2020 02:14:01 pm	1.420	0.551	-0.37	-5.6
	11/01/2020 02:14:01 pm	1.424	0.549	-0.42	-9.1
	11/01/2020 02:14:01 pm	1.428	0.548	-0.37	-13.5
	11/01/2020 02:14:01 pm	1.432	0.546	-0.56	-15.2
	11/01/2020 02:14:01 pm	1.436	0.546	-0.56	-4.4
