"Time (s)","Magnetic field x (µT)","Magnetic field y (µT)","Magnetic field z (µT)"
1.443765104E0,-7.593784332E1,-9.182532310E0,5.687103271E-1
1.453864740E0,-7.601405334E1,-9.028433800E0,8.954544067E-1
1.463122760E0,-7.586180878E1,-8.952333450E0,1.105644226E0
1.473122708E0,-7.583784485E1,-8.650268555E0,1.032951355E0
1.483122760E0,-7.576281738E1,-8.648104668E0,1.223495483E0
1.493122708E0,-7.580034637E1,-8.544347763E0,1.358566284E0
1.503122656E0,-7.574669647E1,-8.789616585E0,1.355255127E0
1.513122708E0,-7.580715179E1,-9.021985054E0,1.333557129E0
1.523122708E0,-7.584403229E1,-8.882729530E0,1.449981689E0
1.533122708E0,-7.594148254E1,-9.045845032E0,1.410232544E0
1.543122760E0,-7.566985321E1,-8.873270035E0,1.086647034E0
1.553122708E0,-7.557612610E1,-8.957985878E0,1.142410278E0
1.563122760E0,-7.550005341E1,-9.042303085E0,9.883117676E-1
1.573122760E0,-7.548367310E1,-9.218540192E0,1.005126953E0
1.583122865E0,-7.555781555E1,-9.045197487E0,1.064895630E0
1.593122760E0,-7.561685181E1,-9.171510696E0,1.063598633E0
1.603122656E0,-7.542784882E1,-9.287197113E0,1.061279297E0
1.613122760E0,-7.548380280E1,-9.201177597E0,1.062614441E0
1.623191875E0,-7.569432831E1,-9.210722923E0,1.158905029E0
1.633267240E0,-7.573339844E1,-9.213131905E0,1.292663574E0
1.643383854E0,-7.573236847E1,-9.142354965E0,1.293540955E0
1.653482135E0,-7.549864197E1,-8.918774605E0,1.047111511E0
1.663585885E0,-7.545996857E1,-8.864276886E0,1.085784912E0
1.673697031E0,-7.551348877E1,-8.601425171E0,1.108398438E0
1.683810729E0,-7.562629700E1,-8.500053406E0,1.091102600E0
1.693122760E0,-7.567800140E1,-8.235651970E0,8.465194702E-1
1.703122760E0,-7.564087677E1,-8.269847870E0,9.222640991E-1
1.713122760E0,-7.569709015E1,-8.184049606E0,9.617691040E-1
1.723122708E0,-7.600276184E1,-8.179988861E0,1.058677673E0
1.733122760E0,-7.606140900E1,-8.271023750E0,1.076904297E0
1.743122656E0,-7.617678833E1,-8.381542206E0,9.806365967E-1
1.753122760E0,-7.589469910E1,-8.634916306E0,1.014335632E0
1.763122760E0,-7.593543243E1,-8.796021461E0,1.050689697E0
1.773122813E0,-7.592317200E1,-9.150529861E0,1.294334412E0
1.783122708E0,-7.588783264E1,-9.361005783E0,1.253372192E0
1.793122708E0,-7.581304932E1,-9.498848915E0,1.174957275E0
1.803122760E0,-7.554374695E1,-9.345738411E0,1.156524658E0
1.813122708E0,-7.575581360E1,-9.478922844E0,1.213111877E0
1.823122708E0,-7.566272736E1,-9.599138260E0,1.287521362E0
1.833122708E0,-7.564417267E1,-9.546344757E0,1.478958130E0
1.843122760E0,-7.558255768E1,-9.295506477E0,1.367279053E0
1.853154323E0,-7.548652649E1,-9.168554306E0,1.540191650E0
1.863205625E0,-7.550201416E1,-8.869231224E0,1.658515930E0
1.873313802E0,-7.551851654E1,-8.780470848E0,1.468833923E0
1.883421354E0,-7.574952698E1,-8.949308395E0,1.429634094E0
1.893529010E0,-7.586183167E1,-8.777602196E0,1.489555359E0
1.903654063E0,-7.576397705E1,-8.684046745E0,1.318489075E0
1.913742448E0,-7.607003784E1,-8.662844658E0,1.511047363E0
1.923846615E0,-7.597386932E1,-8.605673790E0,1.511314392E0
1.933122760E0,-7.591506958E1,-8.654313087E0,1.166877747E0
1.943122760E0,-7.595412445E1,-8.761561394E0,1.070289612E0
1.953122708E0,-7.599318695E1,-8.816390038E0,1.088874817E0
1.963122813E0,-7.574514008E1,-8.858181953E0,9.726791382E-1
1.973122708E0,-7.566676331E1,-8.730830193E0,9.357299805E-1
1.983122708E0,-7.568751526E1,-8.837924004E0,9.535751343E-1
1.993122813E0,-7.574564362E1,-8.945989609E0,8.570709229E-1
2.003122760E0,-7.597436523E1,-8.833267212E0,1.088577271E0
2.013122760E0,-7.605145264E1,-8.889619827E0,1.088233948E0
2.023122760E0,-7.633494568E1,-8.794720650E0,9.189605713E-1
2.033122708E0,-7.635673523E1,-8.850280762E0,1.204666138E0
2.043122813E0,-7.656739807E1,-8.842463493E0,1.358436584E0
2.053122760E0,-7.653437805E1,-9.142296791E0,1.469062805E0
2.063122760E0,-7.662746429E1,-8.987134933E0,1.471427917E0
2.073122708E0,-7.645303345E1,-8.925034523E0,1.185089111E0
2.083122708E0,-7.631831360E1,-8.883370399E0,1.089546204E0
2.093173438E0,-7.643202972E1,-8.782773018E0,1.205848694E0
2.103248490E0,-7.616710663E1,-8.790681839E0,1.490814209E0
2.113357188E0,-7.649043274E1,-8.768748283E0,1.416252136E0
2.123469896E0,-7.630002594E1,-8.760905266E0,1.472717285E0
2.133586302E0,-7.618193817E1,-8.578170776E0,1.321754456E0
2.143668333E0,-7.629680634E1,-8.600881577E0,1.341094971E0
2.153787604E0,-7.639221954E1,-8.482656479E0,1.610221863E0
2.163122813E0,-7.630337524E1,-8.886093140E0,1.700210571E0
2.173122604E0,-7.618888855E1,-8.933607101E0,1.584564209E0
2.183122708E0,-7.624354553E1,-8.881427765E0,1.318260193E0
2.193122760E0,-7.612931824E1,-8.929163933E0,1.240783691E0
2.203122760E0,-7.635711670E1,-8.903032303E0,1.146736145E0
2.213122813E0,-7.641641998E1,-9.012093544E0,1.222000122E0
2.223122656E0,-7.641744995E1,-9.082870483E0,1.221122742E0
2.233122708E0,-7.605736542E1,-9.244171143E0,1.198348999E0
2.243122656E0,-7.614968109E1,-9.053399086E0,1.162986755E0
2.253122760E0,-7.614775848E1,-8.859535217E0,1.298995972E0
2.263122708E0,-7.626521301E1,-8.936877251E0,1.584877014E0
2.273122708E0,-7.605365753E1,-8.804135323E0,1.604629517E0
2.283122760E0,-7.603625488E1,-8.909594536E0,1.622322083E0
2.293122708E0,-7.616968536E1,-8.880260468E0,1.680564880E0
2.303122760E0,-7.603523254E1,-8.768924713E0,1.776756287E0
2.313122760E0,-7.641567230E1,-8.749332428E0,1.683341980E0
2.323130313E0,-7.639761353E1,-8.871711731E0,1.567214966E0
2.333221042E0,-7.636239624E1,-9.152191162E0,1.391777039E0
2.343260729E0,-7.628620911E1,-9.166504860E0,1.372161865E0
2.353404740E0,-7.622921753E1,-9.199219704E0,1.333312988E0
2.363507240E0,-7.607195282E1,-8.926600456E0,1.221458435E0
2.373618333E0,-7.626223755E1,-8.899387360E0,1.222686768E0
2.383737656E0,-7.628092957E1,-8.882399559E0,1.203903198E0
2.393846406E0,-7.622433472E1,-8.897973061E0,1.260704041E0
2.403122708E0,-7.629654694E1,-8.618133545E0,1.264526367E0
2.413122760E0,-7.644699860E1,-8.483007431E0,1.247825623E0
2.423122760E0,-7.642972565E1,-8.571104050E0,1.322990417E0
2.433122708E0,-7.661885834E1,-8.403110504E0,1.459571838E0
2.443122760E0,-7.668035126E1,-8.583944321E0,1.705726624E0
2.453122708E0,-7.650991058E1,-8.682532310E0,1.665527344E0
2.463122760E0,-7.658610535E1,-8.668218613E0,1.685150146E0
2.473122760E0,-7.671683502E1,-8.514248848E0,1.611335754E0
2.483122760E0,-7.664552307E1,-8.882228851E0,1.549156189E0
2.493122708E0,-7.651492310E1,-9.001362801E0,1.718841553E0
2.503122708E0,-7.641759491E1,-8.925723076E0,1.585723877E0
2.513122708E0,-7.623179626E1,-9.341217995E0,1.407897949E0
2.523122760E0,-7.621335602E1,-9.393372536E0,1.388076782E0
2.533122604E0,-7.596634674E1,-9.436049461E0,1.424568176E0
2.543122656E0,-7.585508728E1,-9.556221962E0,1.632499695E0
2.553122708E0,-7.564752197E1,-9.654059410E0,1.744827271E0
2.563190208E0,-7.583704376E1,-9.556289673E0,1.785102844E0
2.573236250E0,-7.570117188E1,-9.391317368E0,1.786529541E0
2.583360938E0,-7.598620605E1,-9.367638588E0,1.692718506E0
2.593450677E0,-7.613615417E1,-9.127231598E0,1.830017090E0
2.603552344E0,-7.642015839E1,-9.137613297E0,1.506744385E0
2.613672240E0,-7.656996918E1,-9.001934052E0,1.394615173E0
2.623779063E0,-7.662514496E1,-8.915251732E0,1.281433105E0
2.633867813E0,-7.656893921E1,-8.931157112E0,1.395492554E0
2.643122760E0,-7.622640228E1,-8.917216301E0,1.527671814E0
2.653122760E0,-7.641797638E1,-8.995947838E0,1.489410400E0
2.663122813E0,-7.622936249E1,-9.059545517E0,1.659515381E0
2.673122760E0,-7.596134186E1,-9.012379646E0,1.601593018E0
2.683122708E0,-7.565981293E1,-9.037454605E0,2.077033997E0
2.693122708E0,-7.575379944E1,-8.970432281E0,2.021049500E0
2.703122708E0,-7.569423676E1,-8.861149788E0,1.907615662E0
2.713122708E0,-7.565646362E1,-8.877320290E0,1.926322937E0
2.723122760E0,-7.599977112E1,-8.926870346E0,1.831871033E0
2.733122708E0,-7.600222015E1,-9.016338348E0,2.002548218E0
2.743122708E0,-7.588593292E1,-8.957465172E0,1.850051880E0
2.753122708E0,-7.611618042E1,-9.020800591E0,1.926681519E0
2.763122813E0,-7.603562164E1,-8.751783371E0,1.872398376E0
2.773122708E0,-7.601873779E1,-8.805265427E0,2.081604004E0
2.783122813E0,-7.621533203E1,-9.080515862E0,2.365386963E0
2.793124010E0,-7.642532349E1,-9.194458008E0,2.154998779E0
2.803137656E0,-7.636937714E1,-9.228057861E0,2.268836975E0
2.813281875E0,-7.639025116E1,-9.422628403E0,2.113815308E0
2.823390208E0,-7.661946106E1,-9.467605591E0,2.076148987E0
2.833497448E0,-7.657884216E1,-9.463869095E0,1.713363647E0
2.843599583E0,-7.677221680E1,-9.631514549E0,1.750350952E0
2.853711042E0,-7.656386566E1,-9.798581123E0,1.594604492E0
2.863825365E0,-7.648664093E1,-9.794536591E0,1.460693359E0
2.873122708E0,-7.633233643E1,-9.681719780E0,1.442291260E0
2.883122760E0,-7.627381134E1,-9.590795517E0,1.443153381E0
2.893122708E0,-7.619273376E1,-9.268916130E0,1.427703857E0
2.903122708E0,-7.592702484E1,-9.380999565E0,1.367813110E0
2.913122760E0,-7.591477966E1,-9.613195419E0,1.880195618E0
2.923122760E0,-7.591220093E1,-9.541090965E0,1.652046204E0
2.933122708E0,-7.608418274E1,-9.496250153E0,1.806098938E0
2.943122708E0,-7.610069275E1,-9.355070114E0,1.731590271E0
2.953122760E0,-7.585238647E1,-9.396640778E0,1.577224731E0
2.963122760E0,-7.592523956E1,-9.169773102E0,1.561309814E0
2.973122708E0,-7.615625000E1,-9.338611603E0,1.522109985E0
2.983122708E0,-7.607505035E1,-8.981675148E0,1.564353943E0
2.993122813E0,-7.620473480E1,-8.931659698E0,1.107505798E0
3.003122760E0,-7.611010742E1,-8.998127937E0,1.068061829E0
3.013122760E0,-7.616475677E1,-8.980895042E0,7.249755859E-1
3.023122760E0,-7.618395996E1,-9.034242630E0,6.289672852E-1
3.033161042E0,-7.633867645E1,-8.990133286E0,1.050140381E0
3.043216979E0,-7.603725433E1,-9.224995613E0,1.083984375E0
3.053340781E0,-7.599897003E1,-9.135884285E0,1.256690979E0
3.063449740E0,-7.609732056E1,-9.387140274E0,1.158584595E0
3.073540573E0,-7.590628815E1,-9.151593208E0,1.618705750E0
3.083652396E0,-7.601639557E1,-8.890640259E0,1.546127319E0
3.093756302E0,-7.576991272E1,-8.846393585E0,1.850914001E0
3.103858281E0,-7.558065796E1,-8.926912308E0,1.887199402E0
3.113122708E0,-7.565503693E1,-8.911049843E0,1.639617920E0
3.123122708E0,-7.586427307E1,-8.919488907E0,1.545059204E0
3.133122760E0,-7.568843842E1,-8.663967133E0,1.471076965E0
3.143122708E0,-7.582084656E1,-8.511436462E0,1.645370483E0
3.153122760E0,-7.576564789E1,-8.807797432E0,1.297866821E0
