Number	Name	Desig	Family	CS	Class	DiamS	DiamF	Diam	HS	HBand	H	GS	G	AlbS	AlbF	Albedo	PF	Period	PerDesc	AmpF	AmpMin	AmpMax	U	Pole	BIN	Notes
16558	1991 VQ2	1991 VQ2	PHO	A	S	C		5.53	M		13.5	M	0.15	A		0.23		170.				1.0	2-	0		T0
16565	1992 CZ1	1992 CZ1	MB-O	A	C	C		13.45	T		13.08	G	1.000	A		0.057		5.790			0.50	0.53	2	0		
16568	1992 DX5	1992 DX5	MB-O	A	C	C		8.94	T		13.97	G	0.945	A		0.057		4.302				0.14	2	0		
16582	1992 JS3	1992 JS3	V	A	S	C		4.50	M		14.1	M	0.15	A		0.20		6.252				0.27	3-	0		
16585	1992 QR	1992 QR	H	A	E	D		1.69	T		15.24	L	0.43	D		0.4970		5.250			0.20	0.44	3	0		
16591	1992 SY17	1992 SY17	MC	A	S	C		4.10	M		14.3	M	0.15	A		0.20		2.73728				0.18	2	0		
16592	1992 TM1	1992 TM1	EUN	A	S	C		10.10	T		12.29	G	0.890	A		0.21		137.686				0.19	2	0		
16594	Sorachi	1992 UL4	MB-M	A	S	C		9.57	T		13.21	G	0.765	A		0.10		4.528				0.19	2	0		
16598	Brugmansia	1992 YC2	MB-M	A	S	C		3.74	M		14.5	M	0.15	A		0.20		3.9272			0.30	0.37	3	0		
16621	1993 FA84	1993 FA84	MB-O	A	C	C		7.54	T		14.34	G	0.120	A		0.057		3.326				0.27	2	0		
16624	Hoshizawa	1993 HX	MB-I	A	S	C		3.78	T		14.48	G	0.200	A		0.20		2.762				0.18	2	0		
16626	Thumper	1993 HJ3	KOR	A	S	C		4.03	T		14.14	G	0.625	A		0.24		6.813			0.37	0.47	2	0		
16634	1993 OD8	1993 OD8	FLOR	A	S	C		2.10	T		15.56	L	0.15	A		0.24		4.90				0.22	2-	0		
16636	1993 QP	1993 QP	NEA	A	S	D		0.53	L		18.73	M	0.15	A		0.20		19.01				0.41	3-	0		
