"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
7.858957300E-1,-4.802533984E-2,1.811981201E-4,-1.138137560E-2
7.909493230E-1,-5.715870857E-2,6.114006042E-3,-7.652700413E-3
7.960029170E-1,-4.136306047E-2,-2.249717712E-3,-4.246585304E-4
8.010565110E-1,-5.770468712E-2,-8.169174194E-3,2.040773397E-3
8.061101050E-1,-6.200912595E-2,-8.102416992E-3,1.163677219E-2
8.111636980E-1,-6.151425838E-2,-9.136199951E-4,1.045507565E-2
8.162172920E-1,-5.867961049E-2,-5.655288696E-3,1.868904941E-2
8.212709380E-1,-5.701032281E-2,3.271102905E-4,7.875824347E-3
8.263245320E-1,-6.491202116E-2,3.883361816E-3,4.168721382E-3
8.313781250E-1,-5.609858036E-2,1.334476471E-2,-6.479177624E-3
8.364316670E-1,-4.851540923E-2,3.738403320E-3,-1.475389581E-2
8.414853130E-1,-4.936543107E-2,2.625846863E-2,7.839669124E-4
8.465389070E-1,-4.422762990E-2,2.247714996E-2,-2.052968554E-2
8.515925000E-1,-4.977092147E-2,5.672454834E-3,-2.150327154E-2
8.566460940E-1,-5.764222145E-2,-1.099300385E-2,-2.003515139E-2
8.616996880E-1,-5.703246593E-2,-7.334709167E-3,-1.977930963E-2
8.667532820E-1,-5.536177754E-2,-9.648323059E-3,-5.373639055E-3
8.718068750E-1,-3.946009278E-2,-1.550292969E-2,-1.950322278E-2
8.768604690E-1,-4.266902804E-2,1.430416107E-2,-3.357341141E-2
8.819140630E-1,-3.156089783E-2,1.299953461E-2,-4.151749238E-2
8.869676570E-1,-1.938855648E-2,8.144378662E-3,-4.819100350E-2
8.920212500E-1,-2.157765627E-2,9.555816650E-4,-5.481160432E-2
8.970748440E-1,-1.775258780E-2,-9.733200073E-3,-5.425567925E-2
9.021284380E-1,-1.395946741E-2,-2.508068085E-2,-5.608823895E-2
9.071820320E-1,-1.849234104E-2,-9.436607361E-3,-6.363233924E-2
9.122356250E-1,-1.951697469E-2,2.150630951E-2,-5.332313478E-2
9.172892190E-1,2.127230167E-3,1.151084900E-3,-5.977831036E-2
9.223428130E-1,-2.109110355E-4,-4.792213440E-3,-5.425006151E-2
