"Time (s)","Magnetic field x (µT)","Magnetic field y (µT)","Magnetic field z (µT)"
1.745254323E0,-4.354157257E1,-4.827350140E0,-2.134372711E1
1.755254375E0,-4.346679688E1,-4.895299911E0,-2.126857758E1
1.765254375E0,-4.362290192E1,-5.149450779E0,-2.129010010E1
1.775254323E0,-4.336105347E1,-5.439584732E0,-2.116133118E1
1.785254375E0,-4.326514435E1,-5.382635117E0,-2.112289429E1
1.795254323E0,-4.343544769E1,-5.336356163E0,-2.121695709E1
1.805254375E0,-4.310941315E1,-5.268601418E0,-2.135123444E1
1.815272188E0,-4.301374435E1,-5.351658344E0,-2.158175659E1
1.825305157E0,-4.318353271E1,-5.269990921E0,-2.167537689E1
1.835411511E0,-4.331066132E1,-4.920719624E0,-2.186129761E1
1.845520521E0,-4.336249542E1,-4.656428814E0,-2.208679962E1
1.855625938E0,-4.343611145E1,-4.517590523E0,-2.218016052E1
1.865733907E0,-4.326593781E1,-4.581452847E0,-2.210540771E1
1.875840938E0,-4.341664886E1,-4.498967648E0,-2.219911194E1
1.885947865E0,-4.351513290E1,-4.680441380E0,-2.212457275E1
1.895254323E0,-4.353254700E1,-4.557508945E0,-2.210387421E1
1.905254323E0,-4.361041641E1,-4.579579830E0,-2.191292572E1
1.915254323E0,-4.361620331E1,-4.934020519E0,-2.182188416E1
1.925254271E0,-4.354207611E1,-5.002523899E0,-2.165130615E1
1.935254271E0,-4.348728180E1,-5.089539051E0,-2.148086548E1
1.945254375E0,-4.348767853E1,-5.037451744E0,-2.130844116E1
1.955254375E0,-4.326077271E1,-5.169196606E0,-2.131114197E1
1.965254323E0,-4.350766754E1,-5.021570206E0,-2.113637543E1
1.975254323E0,-4.362149811E1,-5.008449078E0,-2.119293976E1
1.985254323E0,-4.337192154E1,-4.856709003E0,-2.111586761E1
1.995254375E0,-4.329278564E1,-4.553962231E0,-2.088342285E1
2.005254375E0,-4.325191498E1,-4.497584820E0,-2.116920471E1
2.015254323E0,-4.334512329E1,-4.412425995E0,-2.130131531E1
2.025254375E0,-4.353243637E1,-4.382668018E0,-2.173905945E1
2.035254375E0,-4.347596741E1,-4.415825367E0,-2.170156097E1
2.045254271E0,-4.326595306E1,-4.476614952E0,-2.187507629E1
2.055254375E0,-4.337888336E1,-4.427772999E0,-2.198845673E1
2.065350625E0,-4.353280640E1,-4.575204372E0,-2.210409546E1
2.075457917E0,-4.334108734E1,-4.653620720E0,-2.243043518E1
2.085564896E0,-4.353498840E1,-4.734343529E0,-2.212515259E1
2.095672969E0,-4.362936020E1,-4.650180340E0,-2.208548737E1
2.105779948E0,-4.362768555E1,-4.561376572E0,-2.214164734E1
2.115887240E0,-4.368466949E1,-4.563607693E0,-2.217958069E1
2.125993907E0,-4.362705231E1,-4.455984592E0,-2.200672913E1
2.135254375E0,-4.351566315E1,-4.593519688E0,-2.185626984E1
2.145254375E0,-4.349529266E1,-4.574122906E0,-2.200881195E1
2.155254323E0,-4.374436188E1,-4.603108406E0,-2.189349365E1
2.165254375E0,-4.357213211E1,-4.542889118E0,-2.185536957E1
2.175254375E0,-4.336341095E1,-4.604784966E0,-2.183802795E1
2.185254428E0,-4.323062897E1,-4.564780235E0,-2.164728546E1
2.195254375E0,-4.311447906E1,-4.453598499E0,-2.166552734E1
2.205254375E0,-4.311125183E1,-4.363467216E0,-2.195071411E1
2.215254428E0,-4.303390884E1,-4.271946430E0,-2.191175842E1
2.225254375E0,-4.305441284E1,-4.256507874E0,-2.166334534E1
2.235254375E0,-4.299613953E1,-4.235697269E0,-2.177787781E1
2.245254375E0,-4.278676224E1,-4.349459171E0,-2.197113800E1
2.255254428E0,-4.297988129E1,-4.446990967E0,-2.181876373E1
2.265254375E0,-4.296440506E1,-4.641475201E0,-2.170674133E1
2.275254375E0,-4.302112579E1,-4.660958290E0,-2.182123566E1
2.285257188E0,-4.293280411E1,-5.012417793E0,-2.153973389E1
2.295290521E0,-4.297019196E1,-4.978442669E0,-2.157730865E1
2.305396615E0,-4.299055099E1,-5.120151520E0,-2.169349670E1
2.315504688E0,-4.314550781E1,-5.233521461E0,-2.157966614E1
2.325610469E0,-4.358357620E1,-5.216713905E0,-2.161558533E1
2.335717657E0,-4.336918640E1,-5.011645317E0,-2.186215210E1
2.345825782E0,-4.353962326E1,-4.930531025E0,-2.186034393E1
2.355932240E0,-4.342578888E1,-4.961125374E0,-2.184217072E1
2.365254323E0,-4.353512573E1,-4.629615784E0,-2.187570190E1
2.375254375E0,-4.351617432E1,-4.646381855E0,-2.189508057E1
2.385254375E0,-4.338339996E1,-4.571430683E0,-2.162755585E1
2.395254375E0,-4.334537506E1,-4.517487049E0,-2.149345398E1
2.405254323E0,-4.315676117E1,-4.598558426E0,-2.136174011E1
2.415254323E0,-4.327149582E1,-4.656104088E0,-2.143827057E1
2.425254323E0,-4.327238846E1,-4.779190063E0,-2.157340240E1
2.435254323E0,-4.338558960E1,-4.660676956E0,-2.149504852E1
2.445254375E0,-4.352260590E1,-4.966429234E0,-2.163182831E1
2.455254428E0,-4.362097168E1,-5.095373154E0,-2.146119690E1
2.465254428E0,-4.359815216E1,-4.969035625E0,-2.174602509E1
2.475254428E0,-4.352209091E1,-4.948513985E0,-2.166977692E1
2.485254323E0,-4.350005341E1,-4.752947807E0,-2.168653107E1
2.495254375E0,-4.359404755E1,-4.598560333E0,-2.155056763E1
2.505254375E0,-4.353553009E1,-4.437743187E0,-2.139614868E1
2.515281303E0,-4.353913879E1,-4.580625534E0,-2.116887665E1
2.525292084E0,-4.321015167E1,-4.265702248E0,-2.120465851E1
2.535335990E0,-4.302102661E1,-4.346331120E0,-2.114928436E1
2.545442865E0,-4.313897324E1,-4.598846912E0,-2.117096710E1
2.555549428E0,-4.315534210E1,-4.527448654E0,-2.141812134E1
2.565658178E0,-4.311563110E1,-4.524486065E0,-2.164730835E1
2.575764480E0,-4.300205231E1,-4.572774887E0,-2.162934875E1
2.585872032E0,-4.284837341E1,-4.617769241E0,-2.189783478E1
2.595978803E0,-4.290303421E1,-4.530643463E0,-2.208735657E1
2.605254428E0,-4.297987366E1,-4.516882896E0,-2.197230530E1
2.615254428E0,-4.320587921E1,-4.349417210E0,-2.202642059E1
2.625254375E0,-4.306731415E1,-3.920025349E0,-2.184993744E1
2.635254375E0,-4.295412445E1,-3.951172829E0,-2.173633575E1
2.645254323E0,-4.299356842E1,-4.041279793E0,-2.173727417E1
2.655254375E0,-4.303160477E1,-4.007857800E0,-2.167942047E1
2.665254375E0,-4.312701797E1,-3.889633179E0,-2.141029358E1
2.675254271E0,-4.320552826E1,-3.982149601E0,-2.127747345E1
2.685254375E0,-4.339722443E1,-4.078464508E0,-2.133503723E1
2.695254375E0,-4.332243729E1,-4.268726349E0,-2.152862549E1
2.705254375E0,-4.336612701E1,-4.607107639E0,-2.143721008E1
2.715254271E0,-4.348188782E1,-4.717957497E0,-2.147622681E1
2.725254323E0,-4.348318100E1,-4.719063759E0,-2.128536987E1
2.735254375E0,-4.348690033E1,-5.019315243E0,-2.138452911E1
2.745254323E0,-4.339458466E1,-5.227560043E0,-2.138755798E1
2.755254167E0,-4.316626740E1,-5.218303204E0,-2.129307556E1
2.765276355E0,-4.322363663E1,-5.238339424E0,-2.131214142E1
2.775381875E0,-4.333607101E1,-5.014323711E0,-2.111795807E1
2.785486042E0,-4.323757553E1,-4.920215607E0,-2.138445282E1
2.795595521E0,-4.321681976E1,-4.848067284E0,-2.147908020E1
2.805702865E0,-4.323500443E1,-4.778217793E0,-2.145903778E1
2.815809480E0,-4.330580139E1,-4.409795284E0,-2.147319794E1
2.825917136E0,-4.351620102E1,-4.401757240E0,-2.135759735E1
2.835254375E0,-4.358608246E1,-4.119925976E0,-2.169731140E1
2.845254375E0,-4.353076553E1,-4.276391029E0,-2.175677490E1
2.855254375E0,-4.351232529E1,-4.346019268E0,-2.181498718E1
2.865254323E0,-4.362757492E1,-4.421480656E0,-2.185356140E1
2.875254323E0,-4.364678574E1,-4.404935837E0,-2.179600525E1
2.885254323E0,-4.366625214E1,-4.441031456E0,-2.181545258E1
2.895254323E0,-4.347724915E1,-4.556716919E0,-2.181777954E1
2.905254323E0,-4.333659744E1,-4.317759514E0,-2.236896515E1
2.915254375E0,-4.326208115E1,-4.385930538E0,-2.225564575E1
2.925254271E0,-4.329946899E1,-4.334482670E0,-2.225482941E1
2.935254428E0,-4.324183655E1,-4.384117603E0,-2.242749786E1
2.945254323E0,-4.333480072E1,-4.176425934E0,-2.232904053E1
2.955254375E0,-4.339436340E1,-4.215816021E0,-2.206204224E1
2.965254375E0,-4.339861298E1,-4.429143906E0,-2.189290619E1
2.975254323E0,-4.351181412E1,-4.293157578E0,-2.177616882E1
2.985254375E0,-4.344000244E1,-4.485963821E0,-2.153078461E1
2.995288698E0,-4.359469986E1,-4.616585732E0,-2.149351501E1
3.005319636E0,-4.325357819E1,-4.708700657E0,-2.138173676E1
3.015426146E0,-4.298826218E1,-4.768696785E0,-2.126920319E1
3.025535209E0,-4.289620209E1,-4.977163315E0,-2.123405457E1
3.035642136E0,-4.274122238E1,-5.055997849E0,-2.177017975E1
3.045748438E0,-4.258395004E1,-4.800851822E0,-2.192042542E1
3.055854896E0,-4.262648010E1,-5.068345070E0,-2.184721375E1
3.065963542E0,-4.268436813E1,-5.071350574E0,-2.175154877E1
3.075254375E0,-4.249344254E1,-5.010645390E0,-2.165625000E1
3.085254271E0,-4.264402390E1,-4.910576820E0,-2.173064423E1
